Namespace(batch_size=5, epoch=10, log_dir='./logs', lr=0.005, lr_milestion=[2, 4, 6], num_workers=2, root='./', show_interval=1, snapshot_interval=1, test_interval=2)
[epoch:0, batch:355]	 [loss:0.8937850]	 [lr:0.0050000]
[epoch:0, batch:356]	 [loss:0.9167439]	 [lr:0.0050000]
[epoch:0, batch:357]	 [loss:0.9214309]	 [lr:0.0050000]
[epoch:0, batch:358]	 [loss:0.9157840]	 [lr:0.0050000]
[epoch:0, batch:359]	 [loss:0.9170678]	 [lr:0.0050000]
[epoch:0, batch:360]	 [loss:0.8987200]	 [lr:0.0050000]
[epoch:0, batch:361]	 [loss:0.9133970]	 [lr:0.0050000]
[epoch:0, batch:362]	 [loss:0.8923786]	 [lr:0.0050000]
[epoch:0, batch:363]	 [loss:0.9570466]	 [lr:0.0050000]
[epoch:0, batch:364]	 [loss:0.9216946]	 [lr:0.0050000]
[epoch:0, batch:365]	 [loss:0.9233283]	 [lr:0.0050000]
